Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2017-07-14,253.51,253.79,252.65,6145707859677.0,0.0
2017-07-13,252.84,254.02,252.57,6129307682344.0,0.0
2017-07-12,253.9,253.9,250.15,6155139257789.0,0.0
2017-07-11,249.61,251.37,249.59,6051052655184.0,0.0
2017-07-10,250.53,250.89,250.0,6073461714122.0,0.0
2017-07-07,249.38,249.73,248.86,6045503271326.0,173501074.0
2017-07-06,249.67,251.14,248.26,6052730262872.0,0.0
2017-07-05,251.08,251.26,249.08,6069501036426.0,0.0
2017-07-04,250.18,250.8,249.88,6047953228924.0,0.0
2017-07-03,251.09,251.2,249.15,6069773559951.0,0.0
2017-06-30,247.99,250.29,247.99,5996611178992.0,651129534.0
2017-06-29,249.01,253.88,248.93,6021932727280.0,123278615.0
2017-06-28,252.34,252.34,249.87,6102526691736.0,0.0
2017-06-27,252.43,254.65,252.43,6104848325123.0,0.0
2017-06-26,254.99,256.92,254.77,6166632187704.0,0.0
2017-06-22,255.6,255.6,254.06,6181328070077.0,0.0
2017-06-21,254.9,255.43,253.54,6164433088998.0,0.0
2017-06-20,255.82,257.46,255.82,6186503466153.0,0.0
2017-06-19,256.71,256.98,255.72,6208260985670.0,0.0
2017-06-16,254.5,254.5,252.95,6154616903029.0,0.0
2017-06-15,252.3,254.13,251.25,6101389134525.0,0.0
2017-06-14,254.73,257.35,254.59,6160199455338.0,0.0
2017-06-13,254.96,255.53,253.59,6164500446609.0,0.0
2017-06-12,253.07,255.11,247.38,6119552781341.0,0.0
2017-06-09,255.9,256.1,253.92,6187923243346.0,0.0
2017-06-08,254.12,255.64,253.84,6144925664087.0,0.0
2017-06-07,254.35,255.31,253.09,6134632274271.0,0.0
2017-06-05,253.83,255.4,253.83,6122133405855.0,0.0
2017-06-02,254.95,255.85,254.72,6149170131113.0,0.0
2017-06-01,253.8,254.53,252.76,6122061720255.0,10930221.0
2017-05-31,253.16,254.48,252.64,6101399036211.0,0.0
2017-05-30,253.15,253.15,250.66,6103053793004.0,0.0
2017-05-29,251.78,252.47,251.52,6070152942151.0,0.0
2017-05-26,252.58,252.78,251.24,6089204529031.0,0.0
2017-05-24,252.66,252.71,251.88,6091214355250.0,1010212617.0
2017-05-23,252.64,252.64,250.97,6091748247341.0,0.0
2017-05-22,250.93,251.82,250.63,6050441284161.0,0.0
2017-05-19,250.84,251.15,248.91,6036290350890.0,0.0
2017-05-18,248.71,250.87,247.04,5984938329201.0,370024279.0
2017-05-17,251.2,254.17,250.73,6045328607625.0,805441476.0
2017-05-16,254.94,255.49,254.27,6135988743000.0,371849981.0
2017-05-15,254.5,254.68,253.76,6125809219252.0,0.0
